,tokens,Class
0,buen atencion aclaracion duda parte senorita veronico castillo atento amable cuestion laborable ideal descansar buen habitación limpieza ordenado buen comida parte restaurante variedad comida,5
1,buen hotel si obligado cerca centro convención restaurante necesitar mejorar frio cafe flojo monton pan persona servir uderstanding bu significar servicio barrio opción deber ser hotel especial,3
2,ser lugar lindo fotografia visitar selina musica vivo cerveza artesanal buen comida,5
3,abusado factura alimento siempre echar culpa ir buscar rfc proporcionar independisar base tener registrado alimento base check in pasar dia aun nadade factura aunque hablar largo distancia quedar formalmente fe enviartelar momento ser asi manana vez ir tener hablar colmo ticket dar,3
4,tener par persona grupo realmente querer comer cabrito resto ser buen probar servicio empezar realmente bien llegar situar pedido preguntar acerca agregar sustituir elemento camarero casi parecer molestar claro ver menu ser unico opcion aparte comida ambiente genial mas,3
5,complejo enorme fortificación frente antiguo habana visitar dia lado castillo ser trincar agua elevar metro mas mar,4
6,acabar volver cuba primero semana tryp habano libre poder recomendar nadie primero imagen vestibulo bastante bien salir ascensor piso poder evitar olor moho tras par noche haber enorme fuga agua bano tener cambiar habitacion segundo habitacion ser frio tener llevar cordero grillado calcetín lana sueter mientras dormir recepcionista ser antipatico desayuno bien piso club nocturno terrible banda ruidoso malo banado ir hotel deber ser renovar completamente buen vista,2
7,hola noche dia hotel luego haber tres noche ciudad amurallado creer ser mejor combinacion hacer pues pensar dia dentro ciudad foro dar cuenta cuidad ser mas tres dia tampoco ir san andres si decidir ir hotel quedar cerca ser incluido habitacion jacuzzi recomer pues haber cero privacidad primero dia llegar haber espuma bano gel ducha pedir funcionario pasar patio terraza ahi mismo preguntar necesitar reír pues realidad ser gracioso finalmente nunca llegar espuma segun,3
8,salir viaje escuchar opinión negativo ciudad amurallado poder mas alejado realidad ser espectacular ahi comida ser exelente,5
9,ser imposible pasar monterrey subir vistas ser espectacular visita museo si parecer dedicar tiempo,3
10,despues pandemia preparacion alimento atencion decayo pan malo ahora ofrecer queso amarillo l ensalada ser raquitico especial ser parecer cambiar chef pena,3
11,fortaleza siglo tercero mas grande america situado junto entrada bahia habana ser lugar pintoresco disfrutar vistas habana viejo situado debajo orilla opuesto ser magnifico lleno historia gran lugar explorar hora dos ser menos concurrido castillo mas pequeno morir punta tierra guardia entrada bahia habana,4
12,equivocar central reserva llegar hotel cobrar mas poder alojar habitacion recamara poner solo huesped tener comun acabar pagar enganar,1
13,dificil resultar dar opinion lugar lado hijo divirtir hacer valer pena tener demasiado area oportunidad nino ver principio acceso ser caro adulto pues hacer cobrar nino si tener derecho actividad acceso comenzar mal servicio desafortunadamente tener solo jovencito importar si hacer bien mal trabajo hacer pagar arrepentirse ir ademas ser lento explicar guardia tener actitud mas prepotente hacer pregunta sencillo contestar cara peor actitud pagar acceso explicar tardar minuto entender dinamica jovencito cada actividad ver fastidiado ver querer ahi explicar aparte enojar bajar avion actividad acceso abierto abajo haber nadie controlar prohibir tomar foto hijo actividad aun haber ninguno letrero fin servicio cliente faltar muchisimo final nino divertir pasar tarde agradable jugar ser grande poder decir valer pena ir preparado hacer alguno coraje,3
14,ubicado plaza chorro quevedo restaurante ofrecer musica vivo bastante buen aunque volumen exagerado interior local comida ser tremendo decepcion espera ser interminable comida mediocre precio bastante caro ma,2
