,frecuencia,palabra
0,461,Muy
1,958,buena
2,602,atención
3,18843,y
4,1,aclaración
5,25036,de
6,31,dudas
7,4448,por
8,527,parte
9,17275,la
10,30,señorita
11,1,Verónica
12,21,"castillo,"
13,19,atenta
14,258,amable
15,13617,en
16,27,cuestión
17,1,laborable.
18,3487,
19,17,Ideal
20,6006,para
21,56,descansar
22,5850,muy
23,197,buenas
24,1,"habitaciónes,"
25,40,"limpieza,"
26,1,ordenadas.
27,86,Buena
28,1761,comida
29,4051,del
30,1,"restaurante,variedad"
31,87,comidas
32,89,Buen
33,2641,hotel
34,1558,si
35,534,están
36,5,obligados
37,8410,a
38,359,estar
39,338,cerca
40,398,centro
41,3,"convenciones,"
42,3398,pero
43,13145,el
44,804,restaurante
45,86,necesita
46,1,mejorar!
47,1,Frío
48,140,café
49,6,flojo
50,548,-
51,8052,un
52,246,montón
53,51,pan
54,435,personas
55,15619,que
56,60,sirve
57,373,unos
58,1,uderstanding
59,1,bu
60,3650,lo
61,22,significa
62,127,servicio.
63,717,En
64,1612,este
65,43,barrio
66,5311,con
67,509,tan
68,78,pocas
69,162,opciones
70,95,debería
71,762,ser
72,37,especial.
73,978,Es
74,1910,lugar
75,98,lindo
76,3,"fotografías,"
77,5,visiten
78,1,"Selina,"
79,236,música
80,18,"vivo,"
81,43,cerveza
82,9,artesanal
83,1,Abusados
84,53,factura
85,142,alimentos
86,455,siempre
87,3524,se
88,3,echan
89,11,culpa
90,383,otros
91,84,van
92,19,buscan
93,1,rfc
94,329,les
95,1,proporcionaste
96,1,independisan
97,33,base
98,1144,ya
99,511,tienen
100,2,registrada
101,110,check
102,62,in
103,26,pasaron
104,393,3
105,68,dias
106,57,aun
107,1,nadade
108,1406,mi
109,389,aunque
110,1,hables
111,33,larga
112,60,distancia
113,1,queden
114,1,formalmente
115,4,fe
116,1,enviartela
117,229,momento
118,6966,no
119,8302,es
120,78,asi
121,166,mañana
122,287,otra
123,585,vez
124,54,voy
125,345,tener
126,95,hablar
127,15,colmo
128,498,ni
129,7,ticket
130,2151,me
131,9,dieron.
132,120,Tuvimos
133,135,par
134,154,grupo
135,329,realmente
136,54,queríamos
137,351,comer
138,9,"cabrito,"
139,108,resto
140,260,nosotros
141,441,eran
142,1,probarla.
143,55,Servicio
144,21,empezó
145,257,"bien,"
146,576,hasta
147,180,llegamos
148,2,situar
149,114,nuestros
150,1,pedidos.
151,193,Cuando
152,549,le
153,22,preguntamos
154,49,acerca
155,127,cómo
156,9,agregar
157,1421,o
158,2,sustituir
159,24,elementos
160,83,camarero
161,1,casi...parecía
162,1,molestarle
163,37,claro
164,169,qué
165,128,ve
166,131,menú
167,97,única
168,18,opción.
169,21,Aparte
170,44,"eso,"
171,304,ambiente
172,689,donde
173,1,genial!Más
174,486,Un
175,254,complejo
176,94,enorme
177,5,fortificaciones
178,164,frente
179,2558,al
180,123,antiguo
181,2882,La
182,205,Habana.
183,10,Visité
184,626,día
185,799,cuando
186,412,otro
187,276,lado
188,62,castillo
189,2360,era
190,1,trincadas
191,512,agua
192,3,elevándose
193,134,20
194,37,metros
195,1747,más
196,715,desde
197,52,mar.
198,5,Acabo
199,180,volver
200,94,Cuba.
201,360,primera
202,197,semana
203,10,Tryp
204,577,Habana
205,60,libre
206,160,puedo
207,26,recomendar
208,11,nadie.
209,34,imagen
210,114,vestíbulo
211,1163,estaba
212,553,bastante
213,1155,bien
214,23,salimos
215,67,ascensor
216,23,"piso,"
217,85,pudimos
218,41,evitar
219,136,olor
220,15,moho.
221,9,Tras
222,517,noche
223,636,había
224,6026,una
225,10,fuga
226,312,baño
227,281,tuvimos
228,91,cambiar
229,121,habitación.
230,90,segunda
231,1201,habitación
232,35,fría
233,116,teníamos
234,167,llevar
235,12,cordero
236,1,grillada
237,2,calcetines
238,1,lana
239,2,suéter
240,152,mientras
241,1,duerme.
242,592,Los
243,17,recepcionistas
244,618,todos
245,2,antipático.
246,3043,El
247,658,desayuno
248,226,piso
249,57,25
250,43,club
251,20,nocturno
252,32,terrible
253,29,banda
254,8,ruidosa
255,25,mala.
256,1152,No
257,2,bañados
258,699,ir
259,347,"hotel,"
260,196,debe
261,5,renovada
262,4,completamente.
263,14,Algo
264,1,bueno?
265,583,vista
266,318,...
267,9,"Hola,"
268,58,estuve
269,272,4
270,219,noches
271,336,5
272,36,"días,"
273,192,luego
274,214,haber
275,233,estado
276,192,tres
277,611,ciudad
278,14,"amurallada,"
279,220,creo
280,1523,fue
281,895,mejor
282,2,"combinación,"
283,66,hicimos
284,31,"esto,"
285,194,pues
286,2,pensábamos
287,4,estaríamos
288,5370,los
289,278,días
290,237,dentro
291,156,"ciudad,"
292,1,"foros,"
293,2450,nos
294,42,dimos
295,320,cuenta
296,18,cuidad
297,63,tampoco
298,245,tanto
299,1875,como
300,9,san
301,1,Andrés...
302,75,decidimos
303,4,quedara
304,8,fuese
305,1547,todo
306,26,"incluido,"
307,4,"jacuzzi,"
308,251,cual
309,22,"recomiendo,"
310,1506,hay
311,28,cero
312,1,"privacidad,"
313,148,primer
314,3,espuma
315,37,"baño,"
316,4,gel
317,14,"ducha,"
318,137,pedimos
319,2,funcionario
320,29,pasó
321,64,patio
322,666,nuestra
323,130,terraza
324,143,ahí
325,231,mismo
326,29,preguntar
327,1,necesitábamos...yo
328,1,"reí,"
329,1,pues...en
330,84,realidad
331,1,gracioso...
332,59,finalmente
333,288,nunca
334,62,llegó
335,3,"espuma,"
336,1,según…
337,18,Antes
338,154,salir
339,26,"viaje,"
340,6,escuché
341,19,opiniones
342,6,negativas
343,197,pueden
344,2,alejadas
345,9,"realidad,"
346,492,algo
347,82,espectacular
348,14,exelente
349,43,imposible
350,342,pasar
351,67,Monterrey
352,7,subir.
353,790,Las
354,307,vistas
355,1707,son
356,12,"espectaculares,"
357,458,visita
358,277,museo
359,31,parecio
360,4,dedicarle
361,1019,mucho
362,544,tiempo
363,113,Después
364,4,"pandemia,"
365,11,preparación
366,1,decayó.
367,1155,está
368,114,malo
369,123,ahora
370,106,ofrecen
371,54,queso
372,6,amarillo
373,3,l.
374,8,ensaladas
375,1,raquíticas
376,566,nada
377,8,"especiales,"
378,17,antes.
379,30,Parece
380,55,cambiaron
381,1,chef.
382,79,Que
383,10,pena!
384,202,Esta
385,30,fortaleza
386,35,siglo
387,3,"18,"
388,4,tercero
389,193,grande
390,4402,las
391,2,"Américas,"
392,89,situado
393,125,junto
394,289,entrada
395,13,bahía
396,16,pintoresco
397,283,disfrutar
398,44,"Vieja,"
399,3,"debajo,"
400,11,orilla
401,1,opuesta.
402,395,Este
403,1,"magnífico,"
404,215,lleno
405,384,historia
406,637,gran
407,30,explorar
408,353,durante
409,322,hora
410,12,dos.
411,363,menos
412,16,concurrida
413,188,pequeño
414,6,morro
415,18,punta
416,21,tierra
417,9,guardias
418,6,Bahía
419,274,Se
