,Unnamed: 0,Review,Class,Conteo,Max,Min,moda,tokens,ClassBestModel
1953,1959,"muy hermoso como han arreglado el malecon, se camina tranquilamente y observas bien todo el mar ya hay pocos vendedores que es bueno",4,132,14,1,haber,hermoso haber arreglar malecon caminar tranquilamente observar bien mar haber vendedor ser buen,4
4576,4607,Hermoso legado de la época colonial. Muy pintoresco y hermoso para visitar y pasear por allí. Sumamente recomendable para dejarse enamorar por la arquitectura y la gente.,5,170,12,1,hermoso,hermoso legado epoca colonial pintoresco hermoso visitar pasear alli sumamente recomendable dejar enamorar arquitectura gente,5
2217,2226,"Visitamos el lugar de dia por un costo de  cuc pudimos disfrutar de una hermosa vista de la ciudad, las fotos nos salieron increíbles, el lugar cuenta con todos los servicios.Definitivamente es una parada obligada al visitar la ciudad.",4,236,25,1,visitar,visitar lugar dia costo cuc poder disfrutar hermoso vista ciudad foto salir increible lugar contar servicio definitivamente ser parada obligado visitar ciudad,5
5386,5431,"Muy alto y caminos empinados pero muy linda iglesia, vista espectacular, buen lugar para comer rico.",4,100,13,1,alto,alto camino empinado lindo iglesia vista espectacular buen lugar comer rico,4
4141,4167,"Un lugar muy bonito,con una terraza muy agradable a la mitad del Paseo De Montejo. Los platillos son deliciosos y los precios adecuados. Estuvimos ahí  noches seguidas. Quizá podría mejorar en cuanto al servicio del personal, ya que tienden a ser muy distraídos.Más",4,266,14,1,ser,lugar bonito terraza agradable mitad paseo montejo platillo ser delicioso precio adecuado ahi noche seguido quiza poder mejorar cuanto servicio personal tender ser distraido ma,4
5062,5101,"Hemos recibido una atención exquisita del camarero Andrés Díaz! Atento, dispuesto y con muy buen dominio de la oferta gastronómica del local. Seguro volveremos!",5,160,12,1,haber,haber recibir atencion exquisito camarero andre diaz atento dispuesto buen dominio oferta gastronomico local seguro volver,5
5048,5087,"Nos encanta hospedarnos con ellos ya que el servicio es excelente y su comida genial es placentera la estancia, el ambiente familiar nos hacen sentirnos apapachados y las atenciones son sumamente personalizadas",5,210,14,1,ser,encantar hospedar servicio ser excelente comida genial ser placentero estancia ambiente familiar hacer sentir apapachado atención ser sumamente personalizado,5
4292,4319,"Me atendieron muy rápido y todos los meseros súper atentos , el servicio de la comida también fue en un tiempo considerable y la comida de buen sabor. Los precios son accesibles y tienen una variedad de platillos a elegir.",4,222,12,1,comida,atender rapido mesero super atento servicio comida tambien ser tiempo considerable comida buen sabor precio ser accesible tener variedad platillo elegir,5
3053,3068,"Muy recomendable, probamos la sinfonía de moles para compartir que incluye  diferentes moles con un pollito lo cual fue excelente elección . El mole de bugambilia es excelente . Pruébenlo !!! Los escamoles y el queso con salsa verde de entrada también",4,252,13,1,mol,recomendable probar sinfonia mol compartir incluir diferente mol pollito ser excelente eleccion mole bugambilia ser excelente probeber escamol queso salsa verde entrada tambien,5
3925,3948,"Muy bueno. El personal es muy atento. Los cócteles están bien. La comida es rica, pero no recomendamos el katsudon.",4,115,12,2,ser,buen personal ser atento coctel bien comida ser rico recomendar katsudon,4
7169,7239,Se ha escrito anteriormente y icompared a su contraparte en París. Nos dimos un paseo en carruajes carridge parecidas a las de Central Park. Fue tranquilo y muy divertido. Hay una crema tienda divina de hielo sin duda merece la pena una parada otra vez.,5,253,13,1,haber,haber escribir anteriormente icompared contraparte pari dar paseo carruaje carridge parecido central park ser tranquilo divertido haber crema tienda divino hielo duda merecer pena parada vez,5
4973,5011,"La habitación fue muy agradable, los servicios proporcionados fueron de alta calidad y los alimentos que ofrecen muy buenos. La estancia fue por una semana completa y a lo largo de ella nos ofrecieron una gama de actividades para hacer más grata el tiempo de alojamiento.",4,271,14,1,ser,habitacion ser agradable servicio proporcionado ser alto calidad alimento ofrecer buen estancia ser semana completo largo ofrecer gama actividad hacer mas grata tiempo alojamiento,3
6738,6801,"Nos alojamos en Tulum, y fuimos hasta Chichen Itza nosotros mismos. Si estás conduciendo debatir sobre uno mismo o tomar un tour, no te preocupes por el coche y hazlo. Nunca habíamos conducido en México antes, no hablan español, y era muy fácil! no tienen que muchas carreteras, así que es bastante difícil perderse. que prácticamente sólo seguimos las señales y observó la etiqueta y nos trasladamos a un lado cuando íbamos más lento que el tráfico detrás de nosotros. Una vez en Chichen Itza hay muchos guías disponibles para darle su propia excursión privada. Alquilamos un muy buen hombre llamado Javier, y tuvimos un día estupendo en las ruinas.",5,650,13,1,ir,alojar tulum ir chichen itza mismo si conducir debatir mismo tomar tour preocupar coche hazlar nunca haber conducir mexico hablar espanol ser facil tener carretera asi ser bastante dificil perder practicamente solo seguir senal observar etiqueta trasladar lado ir mas lento trafico detrar vez chichen itza haber guia disponible dar propio excursion privado alquilar buen hombre llamado javier tener dia estupendo ruina,4
